eV	counts/s
18.66157	31
18.67457	43
18.68757	69
18.70057	66
18.71357	-7
18.72657	48
18.73957	84
18.75257	64
18.76557	11
18.77857	126
18.79157	92
18.80457	4
18.81757	-83
18.83057	-54
18.84357	-4
18.85657	57
18.86957	17
18.88257	34
18.89557	-20
18.90857	58
18.92157	103
18.93457	60
18.94757	43
18.96057	46
18.97357	-12
18.98657	15
18.99957	120
19.01257	35
19.02557	-13
19.03857	85
19.05157	45
19.06457	22
19.07757	56
19.09057	60
19.10357	-98
19.11657	7
19.12957	-44
19.14257	-31
19.15557	-96
19.16857	52
19.18157	30
19.19457	90
19.20757	2
19.22057	75
19.23357	85
19.24657	10
19.25957	7
19.27257	40
19.28557	25
19.29857	21
19.31157	21
19.32457	-31
19.33757	17
19.35057	40
19.36357	82
19.37657	57
19.38957	62
19.40257	79
19.41557	143
19.42857	91
19.44157	52
19.45457	-7
19.46757	-20
19.48057	21
19.49357	90
19.50657	84
19.51957	138
19.53257	116
19.54557	-49
19.55857	3
19.57157	55
19.58457	82
19.59757	89
19.61057	108
19.62357	94
19.63657	79
19.64957	116
19.66257	93
19.67557	52
19.68857	58
19.70157	75
19.71457	33
19.72757	27
19.74057	47
19.75357	33
19.76657	-5
19.77957	39
19.79257	71
19.80557	104
19.81857	101
19.83157	72
19.84457	90
19.85757	123
19.87057	118
19.88357	20
19.89657	-24
19.90957	32
19.92257	80
19.93557	37
19.94857	-25
19.96157	-19
19.97457	-23
19.98757	-79
20.00057	31
20.01357	103
20.02657	96
20.03957	47
20.05257	65
20.06557	67
20.07857	23
20.09157	29
20.10457	110
20.11757	65
20.13057	97
20.14357	109
20.15657	130
20.16957	-21
20.18257	33
20.19557	90
20.20857	32
20.22157	-50
20.23457	54
20.24757	46
20.26057	23
20.27357	69
20.28657	53
20.29957	57
20.31257	-11
20.32557	47
20.33857	53
20.35157	30
20.36457	129
20.37757	27
20.39057	12
20.40357	2
20.41657	130
20.42957	-9
20.44257	1
20.45557	102
20.46857	38
20.48157	69
20.49457	40
20.50757	1
20.52057	87
20.53357	35
20.54657	17
20.55957	16
20.57257	33
20.58557	-9
20.59857	11
20.61157	10
20.62457	92
20.63757	14
20.65057	-37
20.66357	56
20.67657	43
20.68957	80
20.70257	34
20.71557	-18
20.72857	-22
20.74157	121
20.75457	86
20.76757	34
20.78057	12
20.79357	-10
20.80657	23
20.81957	-43
20.83257	14
20.84557	64
20.85857	34
20.87157	40
