x,y
9.649650121,0.34581943
9.685791133,0.350740867
9.721932144,0.355987286
9.758073156,0.360866155
9.794214168,0.365921531
9.830355179,0.371019476
9.866496191,0.376035397
9.902637203,0.380949567
9.938778214,0.385850239
9.974919226,0.390788289
10.01106024,0.395903885
10.04720125,0.400255308
10.08334226,0.405381287
10.11948327,0.41016671
10.15562428,0.415009239
10.1917653,0.419829964
10.22790631,0.424400464
10.26404732,0.42897927
10.30018833,0.433518622
10.33632934,0.438473284
10.37247035,0.442932689
10.40861137,0.447723303
10.44475238,0.452563756
10.48089339,0.457312839
10.5170344,0.461614425
10.55317541,0.466306404
10.58931642,0.470732583
10.62545744,0.475323848
10.66159845,0.479999214
10.69773946,0.484444082
10.73388047,0.488954362
10.77002148,0.493177039
10.80616249,0.497853443
10.84230351,0.502373067
10.87844452,0.506865697
10.91458553,0.511119522
10.95072654,0.515290284
10.98686755,0.519512961
11.02300857,0.523675418
11.05914958,0.528032032
11.09529059,0.531920384
11.1314316,0.536117103
11.16757261,0.540349125
11.20371362,0.544395294
11.23985464,0.548480918
11.27599565,0.552158499
11.31213666,0.556236855
11.34827767,0.560592431
11.38441868,0.564250285
11.42055969,0.568421048
11.45670071,0.572304208
11.49284172,0.576151028
11.52898273,0.580301025
11.56512374,0.584207027
11.60126475,0.587792201
11.63740576,0.591821758
11.67354678,0.595542947
11.70968779,0.599308781
11.7458288,0.603313419
11.78196981,0.607069909
11.81811082,0.610763064
11.85425183,0.614295286
11.89039285,0.617837891
11.92653386,0.621924553
11.96267487,0.625485847
11.99881588,0.628931891
12.03495689,0.632311486
12.0710979,0.63603579
12.10723892,0.639584624
12.14337993,0.64290919
12.17952094,0.646220259
12.21566195,0.649529251
12.25180296,0.652901578
12.28794397,0.656056905
12.32408499,0.659186275
12.360226,0.662621937
12.39636701,0.666452145
12.43250802,0.669462113
12.46864903,0.672527109
12.50479004,0.675723967
12.54093106,0.678770275
12.57707207,0.68169199
12.61321308,0.684639661
12.64935409,0.68743782
12.6854951,0.690277511
12.72163611,0.693412072
12.75777713,0.696286025
12.79391814,0.699092491
12.83005915,0.701843928
12.86620016,0.704503996
12.90234117,0.706979251
12.93848218,0.709792984
12.9746232,0.712229823
13.01076421,0.71475803
13.04690522,0.71729662
13.08304623,0.719897506
13.11918724,0.722304235
13.15532825,0.724658011
13.19146927,0.727477974
13.22761028,0.730107932
13.26375129,0.732637178
13.2998923,0.735294131
13.33603331,0.73750151
13.37217432,0.739985071
13.40831534,0.742190374
13.44445635,0.744481853
