minutes,qt
9.463750000000001,9.109466702045923
9.518866666666666,9.162520030771613
9.574000000000002,9.215589402233542
9.629116666666667,9.26864273095923
9.684233333333333,9.321696059684923
9.73935,9.374749388410615
9.794483333333334,9.42781875987254
9.8496,9.480872088598232
9.904983333333332,9.534182101103665
9.9601,9.58723542982936
10.015216666666667,9.640288758555052
10.070333333333334,9.693342087280744
10.125449999999999,9.746395416006433
10.180583333333335,9.799464787468361
10.2357,9.85251811619405
10.290816666666668,9.905571444919744
10.3462,9.958881457425177
10.401316666666668,10.01193478615087
10.456433333333333,10.064988114876561
10.511816666666668,10.118298127381998
10.566933333333333,10.171351456107686
10.62205,10.224404784833379
10.677183333333334,10.277474156295305
10.7323,10.330527485020998
10.787416666666667,10.38358081374669
10.842533333333334,10.43663414247238
10.897916666666667,10.489944154977815
